Applicant Street,Applicant Zip Code,Type of Award,Race and Ethnicity,Primary Language Spoken,Gender Identity,Do you have a mobile housing voucher?,Receive SNAP/EBT Benefits?,How many in household?,Total Monthly Income all sources,Are you currently employed?,Total Amount Awarded,Date Payment Issued,Disposition of case,"If ineligible, why?",longitude,latitude
Commonwealth Ave,02115,Future Stipend,White,English,Female,No,No,1.0,2592,,3000.0,,Approved,,-71.0922,42.3427
Commonwealth Ave,02115,Future Stipend; Rental Arrears,White,English,Female,No,Yes,1.0,300,Yes,9100.0,,Approved,,-71.0922,42.3427
Commonwealth ave,02119,Rental Arrears,White,English,Female,No,No,1.0,3000,No,2525.0,,Approved,,-71.0953,42.3251
Commonwealth Ave,02115,Rental Arrears; Utility Payments,White,English,Female,,,1.0,3000,No,6209.3,,Approved,,-71.0922,42.3427
Commonwealth Ave.,02115,Future Stipend,White,English,Female,,,1.0,1500,No,3304.0,,Approved,,-71.0922,42.3427
Commonwealth Ave,02215,Future Stipend; Rental Arrears,Asian,English,Male,No,No,2.0,800,,6000.0,,Approved,,-71.1027,42.3471
commonwealth ave,02215,Future Stipend; Rental Arrears; Utility Payments,Black/African American;Latino;Multi-Racial,English,Genderqueer Gender non binary,No,Yes,1.0,771.5,No,2216.04,12/14/2021,Approved,,-71.1027,42.3471
Commonwealth Ave.,02134,Future Stipend; Rental Arrears,Multi-Racial,English,Female,No,No,1.0,0,No,6000.0,,Approved,,-71.1329,42.3535
Commonwealth Ave,02134,Rental Arrears,Asian,English,Male,No,No,1.0,0,,6000.0,,Approved,,-71.1329,42.3535
Commonwealth Ave,02134,Future Stipend,Asian,Chinese Mandarin,Female,No,No,1.0,1872,,4000.0,,Approved,,-71.1329,42.3535
Commonwealth Ave,02134,Future Stipend; Rental Arrears,American Indian or Alaskan Native;Black/African American,English,Male,,,1.0,1800,No,9849.88,,Approved,,-71.1329,42.3535
Commonwealth Ave,02134,,Black/African American,English,Male,No,Yes,1.0,1444,,3475.0,,Approved,,-71.1329,42.3535
Commonwealth Ave.1,02134,Rental Arrears,White,English,Male,,,1.0,828,,11323.0,,Approved,,-71.1329,42.3535
Commonwealth Ave,02134,Future Stipend; Rental Arrears; Utility Payments,White,English,Trans male,No,No,2.0,3927,Yes,10586.83,,Approved,,-71.1329,42.3535
Commonwealth Ave,02134,Rental Arrears,Black/African American,English,Female,Yes,Yes,1.0,300,No,2693.0,5/13/2022,Approved,,-71.1329,42.3535
Commonwealth Avenue,02134,Rental Arrears,Black/African American,English,Female,Yes,Yes,1.0,900,Yes,1108.0,9/16/2022,Approved,,-71.1329,42.3535
commonwealth ave,02134,Rental Arrears,White,English,Female,,,1.0,2500,Yes,17000.0,,Approved,,-71.1329,42.3535
Commonwealth Ave,02134,,White,English,Female,No,No,1.0,1035,,6000.0,,Approved,,-71.1329,42.3535
Commonwealth Ave.,02134,Rental Arrears,Black/African American,English,Female,Yes,Yes,2.0,2149,No,1605.0,9/14/2022,Approved,,-71.1329,42.3535
Commonwealth Ave,02134,Utility Payments,White,English,Male,,,2.0,4500,No,1500.0,8/6/2021,Approved,,-71.1329,42.3535
Commonwealth Ave,02134,Rental Arrears,White,English,Female,No,No,1.0,3802,Yes,1750.0,10/19/2021,Approved,,-71.1329,42.3535
Commonwealth Ave,02134,Future Stipend; Rental Arrears,Black/African American,English,Male,,,3.0,0,,10825.0,,Approved,,-71.1329,42.3535
Commonwealth Avenue,02134,Future Stipend; Rental Arrears,Black/African American; White,English,Female,,,2.0,2000,Yes,9653.0,,Approved,,-71.1329,42.3535
Commonwealth Ave,02124,Rental Arrears,Asian,English,Female,No,No,1.0,1500,,6000.0,,Approved,,-71.0717,42.2918
Commonwealth Ave,02135,Rental Arrears,Black/African American,English,Male,Yes,No,1.0,0,No,4100.39,12/10/2021,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,1.0,0,No,6572.0,,Approved,,-71.1566,42.3478
Commonwealth Av,02135,Rental Arrears,White,English,Male,No,No,1.0,0,No,5670.0,,Approved,,-71.1566,42.3478
Commonwealth Av,02135,Future Stipend; Rental Arrears,Black,English,Female,No,No,1.0,1125,Yes,7465.0,3/18/2022,Approved,,-71.1566,42.3478
commonwealth ave,02135,Future Stipend,Black/African American,Haitian Creole,Male,No,No,1.0,300,Yes,3780.0,,Approved,,-71.1566,42.3478
commonwealth ave,02135,Rental Arrears,Black/African American,English,Female,Yes,Yes,4.0,508,No,1518.11,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Rental Arrears,Black,English,Female,No,No,1.0,743.12,No,2426.0,7/8/2022,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Rental Arrears,Black/African American,English,Female,,,3.0,1023,,6022.17,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Future Stipend; Rental Arrears,White,English,Male,No,No,2.0,2325.41,Yes,11495.41,,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Rental Arrears,Black/African American,English,Male,Yes,Yes,1.0,0,No,1708.0,,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Future Stipend; Rental Arrears,Latino,English,Female,No,Yes,3.0,0,No,10000.0,5/27/2022,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,No,4.0,749.77,No,10398.0,,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Rental Arrears,White,English,Male,Yes,No,1.0,1146,No,742.47,11/5/2021,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Rental Arrears,Black/African American,English,Male,Yes,No,1.0,1146,No,897.0,10/29/2021,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Rental Arrears,White,English,Male,Yes,No,1.0,1232.09,No,1838.74,,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Future Stipend; Rental Arrears,White,English,Male,No,No,2.0,1234,No,13604.77,10/18/2021,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Future Stipend; Rental Arrears,White,English,Male,Yes,No,1.0,1266.5,No,6818.96,10/29/2021,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Rental Arrears,Black/African American,English,Female,Yes,No,2.0,3537.49,No,3367.0,,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Future Stipend; Rental Arrears,Black/African American,English,Male,No,No,1.0,3600,No,13017.16,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Future Stipend; Moving Costs; Rental Arrears; Utility Payments,Black/African American; Latino,English,Female,,,1.0,4152,All or some members of the household are not eligible,8561.29,10/22/2021,Approved,,-71.1566,42.3478
commonwealth ave,02125,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Male,No,Yes,5.0,2000,No,15000.0,,Approved,,-71.0745,42.2973
Commonwealth Ave.,02135,Future Stipend; Rental Arrears,Latino,English,Female,,,2.0,1840,No,7425.0,,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Future Stipend,Black,English,Male,No,No,1.0,2400,Yes,4200.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Future Stipend; Rental Arrears,White,,Male,,,1.0,4163,Yes,14640.0,,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Rental Arrears,White,English,Male,Yes,Yes,1.0,1441,No,676.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,769.23,Yes,7875.0,5/13/2022,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,,Black/African American,English,Female,No,No,2.0,3675,,6000.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,,Black/African American,English,Male,No,No,1.0,2236,,5625.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Rental Arrears,Asian,,Female,,,1.0,0,,3731.0,,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Rental Arrears,Multi-Racial,English,Female,No,No,1.0,2300,Yes,6750.0,5/27/2022,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Rental Arrears,Asian,English,Male,No,No,4.0,4000,,4000.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Future Stipend,Black/African American; Multi-Racial; White,English,Female,No,No,2.0,3000,,1550.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Future Stipend,Black/African American,English,Female,,,3.0,465,Yes,5475.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,3.0,0,,4000.0,,Approved,,-71.1566,42.3478
Commonwealth Ave.,02135,Rental Arrears; Utility Payments,White,English,Male,,,1.0,4055,No,5668.96,,Approved,,-71.1566,42.3478
Commonwealth Av,02135,Future Stipend; Rental Arrears,White,Spanish,Male,,,4.0,1600,Yes,5250.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Rental Arrears,White,Spanish,Male,,,3.0,1.5,,3500.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Rental Arrears,White,English,Not reported,,,1.0,0,,478.0,,Approved,,-71.1566,42.3478
Commonwealth Avenue,02135,Rental Arrears,Black/African American,English,Male,,,1.0,2524,Yes,11250.0,,Approved,,-71.1566,42.3478
Commonwealth Ave,02135,Rental Arrears,White,English,Male,,,1.0,0,No,2025.0,,Approved,,-71.1566,42.3478
Como rd,02136,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,Yes,4.0,2800,Yes,3333.43,,Approved,,-71.1261,42.254
Condor St,02128,,White,English,Female,No,No,1.0,1362,,1555.0,,Approved,,-71.0257,42.3642
Confidentiality Program,02130,Future Stipend; Moving Costs,Middle Eastern/West Asian or North African,English,Female,,,1.0,1200,,5500.0,,Approved,,-71.1115,42.3126
Congress St,02135,Future Stipend,Black/African American,English,Female,,,1.0,3000,Unemployment application was accepted,3954.0,,Approved,,-71.1566,42.3478
Congress St,02210,Future Stipend,Black/African American,English,Female,,,1.0,3000,No,3954.0,11/15/2021,Approved,,-71.0465,42.3489
Congress Street,02210,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,2.0,0,No,7830.0,,Approved,,-71.0465,42.3489
Congress Street,02210,Future Stipend; Rental Arrears; Utility Payments,Black/African American; Latino,Spanish,Female,,,2.0,1176,Yes,7987.79,,Approved,,-71.0465,42.3489
Congress Street,02210,Future Stipend; Rental Arrears,White,English,Male,No,No,1.0,1600,Yes,15000.0,,Approved,,-71.0465,42.3489
Congress Street,02210,Future Stipend; Rental Arrears; Utility Payments,White,English,Female,No,No,2.0,5089,No,6787.28,,Approved,,-71.0465,42.3489
Conrad St,02125,,Decline to answer; White,English,Male,No,No,1.0,0,,4000.0,,Approved,,-71.0745,42.2973
Conway St,02131,,Latino,English,Female,No,No,2.0,1600,,4000.0,,Approved,,-71.1295,42.2836
Conway Street,02131,Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,5.0,2678,Yes,3358.27,,Approved,,-71.1295,42.2836
Conway Street,02131,Rental Arrears,Latino,Spanish,Female,,,2.0,3085,No,2800.0,,Approved,,-71.1295,42.2836
Copeland Street,02119,Future Stipend; Rental Arrears,Black/African American,English,Female,,,2.0,2800,Yes,14700.0,,Approved,,-71.0953,42.3251
copeland st,02119,Future Stipend; Rental Arrears,Black,English,Male,No,Yes,3.0,26000,Yes,4750.0,,Approved,,-71.0953,42.3251
Copeland St.,02119,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,1.0,869,Yes,4251.66,,Approved,,-71.0953,42.3251
Copeland St,02119,Rental Arrears,Black/African American,Other,Female,No,Yes,3.0,557,No,2700.0,,Approved,,-71.0953,42.3251
Copeland St,02119,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,3.0,1000,No,2700.0,,Approved,,-71.0953,42.3251
Corey Road,02135,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,1.0,1600,No,5767.81,7/29/2022,Approved,,-71.1566,42.3478
Corey Road,02135,Future Stipend,Latino,Spanish,Male,,,2.0,4000,,7438.0,,Approved,,-71.1566,42.3478
Corey Road,02135,Rental Arrears,Latino,Spanish,Male,,,2.0,0,,4000.0,,Approved,,-71.1566,42.3478
Corey Road,02135,Future Stipend; Rental Arrears,Black/African American,English,Female,,,1.0,850,No,4400.0,10/22/2021,Approved,,-71.1566,42.3478
Corman Rd,02126,Moving Costs; Utility Payments,Black/African American,English,Female,,,3.0,2000,No,2142.87,,Approved,,-71.0939,42.2739
Cornell St.,02131,Rental Arrears,White,English,Male,No,No,3.0,6917,Yes,5000.0,4/1/2022,Approved,,-71.1295,42.2836
CORNELL ST,02131,Future Stipend; Rental Arrears,White,Spanish,Male,No,Yes,3.0,758,Yes,16218.53,,Approved,,-71.1295,42.2836
CORNELL ST,02131,Future Stipend; Rental Arrears,Latino,English,Male,No,Yes,2.0,1250,Yes,15000.0,,Approved,,-71.1295,42.2836
Cornell St,02131,Rental Arrears,Multi-Racial,Spanish,Female,No,Yes,4.0,2356.7,Yes,10000.0,,Approved,,-71.1295,42.2836
Cornell Street,02131,Rental Arrears,Black,English,Female,No,No,1.0,50,No,15200.0,4/15/2022,Approved,,-71.1295,42.2836
Cornell St,02131,Future Stipend; Rental Arrears,White,English,Female,No,No,2.0,1068,,3700.0,,Approved,,-71.1295,42.2836
Cornell St,02131,Rental Arrears,Asian,,Female,,,2.0,1200,No,15000.0,,Approved,,-71.1295,42.2836
Corona St,02128,Rental Arrears,Latino,English,Not reported,,,3.0,356,,2284.0,,Approved,,-71.0257,42.3642
Corona St,02124,Rental Arrears; Utility Payments,Latino,Spanish,Female,,,4.0,1133,Yes,1681.5,,Approved,,-71.0717,42.2918
Corona St,02124,Future Stipend,Black/African American,English,Male,,,3.0,2800,,2304.0,,Approved,,-71.0717,42.2918
Corona Street,02124,Moving Costs,White,English,Female,Yes,Yes,5.0,1692,No,2800.0,,Approved,,-71.0717,42.2918
Corona St,02124,Rental Arrears,Black/African American,English,Female,,,3.0,2800,,8400.0,,Approved,,-71.0717,42.2918
Corona St,02124,Rental Arrears,Black/African American,English,Not reported,,,1.0,3200,,4000.0,,Approved,,-71.0717,42.2918
Cortes St,02116,Future Stipend,Black/African American,English,Male,No,Yes,1.0,1528,No,1374.0,,Approved,,-71.0768,42.3492
Cortes Street,02116,Rental Arrears,Black/African American,English,Male,,,1.0,294,,606.71,,Approved,,-71.0768,42.3492
Cortland Rd.,02126,Utility Payments,Native Hawaiian or Other Pacific Islander,English,Female,,,3.0,540,No,1425.85,,Approved,,-71.0939,42.2739
Cottage St.,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,No,2.0,40236.94,Yes,15000.0,,Approved,,-71.0257,42.3642
Cottage St,02128,,White,Spanish,Female,No,No,4.0,2800,,6000.0,,Approved,,-71.0257,42.3642
Cottage St,02128,Rental Arrears; Utility Payments,Latino,Portguese,Female,,,3.0,500,yes,8767.47,,Approved,,-71.0257,42.3642
Cottage Street,02128,Rental Arrears,White,English,Genderqueer Gender non binary,No,Yes,3.0,2109,Yes,800.0,,Approved,,-71.0257,42.3642
Cottage Street,02128,Future Stipend; Rental Arrears,White,English,Male,No,No,3.0,944.32,No,5395.0,,Approved,,-71.0257,42.3642
Cottage St,02128,Rental Arrears,Latino,Spanish,Female,,,2.0,1600,All or some members of the household are not eligible,4500.0,,Approved,,-71.0257,42.3642
Cottage St,02128,,Latino,Spanish,Male,No,No,2.0,1600,,4500.0,,Approved,,-71.0257,42.3642
Cottage ,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,3.0,900,Yes,10510.0,,Approved,,-71.0257,42.3642
Cottage St,02128,Future Stipend; Rental Arrears,Middle Eastern/West Asian or North African,Arabic,,,,2.0,0,,6400.0,,Approved,,-71.0257,42.3642
Cottage St.,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,Yes,3.0,4000,Yes,9445.76,1/2/2021,Approved,,-71.0257,42.3642
Cottage St.,02128,Rental Arrears,Latino,Spanish,Male,,,3.0,3000,,1575.0,,Approved,,-71.0257,42.3642
Cottage Street,02128,Rental Arrears,Latino,,Not reported,,,3.0,0,,4000.0,,Approved,,-71.0257,42.3642
cottage street,02128,Rental Arrears,Latino,English,Female,No,Yes,4.0,40000,Yes,12441.0,3/25/2022,Approved,,-71.0257,42.3642
Courtland Rd,02126,Rental Arrears,Multi-Racial,English,Female,No,No,3.0,4000,,5250.0,,Approved,,-71.0939,42.2739
courtland road,02126,Rental Arrears,Black/African American; Multi-Racial,English,Female,No,Yes,2.0,0,No,15000.0,,Approved,,-71.0939,42.2739
Cowper St.,02128,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Male,No,No,1.0,3700,Yes,15142.0,4/8/2022,Approved,,-71.0257,42.3642
Cowper St,02128,Rental Arrears,Latino,Spanish,Male,,,6.0,4434,No,14975.0,,Approved,,-71.0257,42.3642
Cowper St,02128,,Black/African American,English,Female,No,No,2.0,1960,,2740.0,,Approved,,-71.0257,42.3642
Cragmere Ter,02126,Future Stipend,White,English,Female,No,Yes,4.0,800.2,No,3000.0,,Approved,,-71.0939,42.2739
Crawford St,02121,Rental Arrears,Black/African American,English,Female,No,Yes,4.0,1600,No,5716.17,6/10/2022,Approved,,-71.0745,42.2973
Crawford St,02121,Rental Arrears,Black,English,Female,No,Yes,1.0,1733.23,Yes,1754.0,,Approved,,-71.0745,42.2973
Crawford St,02121,Rental Arrears; Utility Payments,Latino,Spanish,Female,,,3.0,0,No,15000.0,,Approved,,-71.0745,42.2973
Crawford street,02124,Rental Arrears; Utility Payments,Latino,Spanish,Female,No,No,2.0,1060.15,Yes,15000.0,,Approved,,-71.0717,42.2918
Crawford St.,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,,,1.0,775,No,3150.0,,Approved,,-71.0745,42.2973
Crawford Street,02121,Future Stipend; Rental Arrears,Black/African American,English,Male,No,Yes,2.0,2000,Yes,7600.0,,Approved,,-71.0745,42.2973
Crawford St,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,2.0,856,,4000.0,,Approved,,-71.0745,42.2973
Crawford Street,02121,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,3.0,1800,Yes,7776.0,,Approved,,-71.0745,42.2973
Crawford Street,02121,Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,3.0,3322.39,Yes,2435.68,,Approved,,-71.0745,42.2973
Crawford Street,02121,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,3.0,952,Yes,13903.0,,Approved,,-71.0745,42.2973
Creighton St,02130,Future Stipend; Moving Costs,Black/African American; White,English,Male,,,1.0,3800,Yes,9828.0,,Approved,,-71.1115,42.3126
Crescent Ave,02125,,White,English,Female,No,No,3.0,1068,,4000.0,,Approved,,-71.0745,42.2973
Crescent Ave,02125,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,2.0,0,,4000.0,,Approved,,-71.0745,42.2973
Crescent Ave,02125,Rental Arrears,Other Race,Spanish,Female,,,1.0,1400,,2100.0,,Approved,,-71.0745,42.2973
Crescent Ave.,02125,Future Stipend; Rental Arrears,Latino,English,Female,,,1.0,0,No,13600.0,,Approved,,-71.0745,42.2973
Crescent Ave.,02125,Rental Arrears,Other Race,English,Female,,,4.0,1000,Yes,2800.0,,Approved,,-71.0745,42.2973
Crescent Ave,02125,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,1.0,1900,Yes,4200.0,,Approved,,-71.0745,42.2973
Creston park,02121,Rental Arrears,Latino,Spanish,Female,No,No,3.0,1400,Yes,9900.0,,Approved,,-71.0745,42.2973
Creston Park,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,,,2.0,2368,No,15000.0,8/30/2021,Approved,,-71.0745,42.2973
creston st,02121,Future Stipend; Rental Arrears,American Indian or Alaskan Native,English,Male,No,Yes,1.0,0,No,7200.0,8/5/2022,Approved,,-71.0745,42.2973
Crispus Attucks,02119,Rental Arrears,Black/African American,English,Female,,,2.0,2400,Yes,9229.0,7/27/2021,Approved,,-71.0953,42.3251
Crispus Attucks,02119,Rental Arrears,Asian,English,Female,No,Yes,6.0,1600,Yes,2808.33,,Approved,,-71.0953,42.3251
Crowell St.,02124,Future Stipend; Rental Arrears; Utility Payments,Latino,English,Female,No,No,4.0,4000,Yes,16265.42,3/30/2022,Approved,,-71.0717,42.2918
CROWELL STREET,02124,Utility Payments,Latino,English,Female,Yes,Yes,4.0,0,No,2000.0,,Approved,,-71.0717,42.2918
Crowell st,02124,Rental Arrears,White,English,Female,No,Yes,7.0,2048,Yes,14700.0,10/8/2021,Approved,,-71.0717,42.2918
Crowell Street,02124,Rental Arrears,Black/African American,English,Female,No,No,1.0,3890,Yes,15950.0,,Approved,,-71.0717,42.2918
Crowley Rogers,02127,Future Stipend; Utility Payments,White,English,Female,,,2.0,2012,Unemployment application was accepted,8104.47,,Approved,,-71.0375,42.3347
CROWN POINT,02136,Rental Arrears,Latino,English,Female,No,Yes,3.0,0,No,804.0,2/4/2022,Approved,,-71.1261,42.254
Crown Point,02136,Utility Payments,Black/African American,English,Female,No,No,1.0,2500,Yes,1214.31,2/4/2022,Approved,,-71.1261,42.254
Crown Point,02136,Rental Arrears; Utility Payments,Black/African American; White,English,Female,,,3.0,976,No,4200.0,,Approved,,-71.1261,42.254
Crown Point,02136,Rental Arrears,Latino,Spanish,Female,,,1.0,1348,No,5351.0,,Approved,,-71.1261,42.254
Crown Point,02136,Rental Arrears; Utility Payments,White,English,Female,No,Yes,1.0,1500,No,1825.07,2/11/2022,Approved,,-71.1261,42.254
Cummins Hwy,02131,Utility Payments,White,English,Female,No,Yes,2.0,3600,Yes,938.53,,Approved,,-71.1295,42.2836
Cummins Hwy,02131,Future Stipend; Rental Arrears,White,English,Female,,,4.0,467,,7600.0,,Approved,,-71.1295,42.2836
Cummins highway,02131,Rental Arrears,Black/African American,English,Female,No,Yes,3.0,1960.8,Yes,3250.0,6/30/2022,Approved,,-71.1295,42.2836
Cummins Highway,02132,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,2.0,704,No,11094.37,7/8/2022,Approved,,-71.1589,42.2787
